,RF,SVM,XGB,KNN,DT
a1,1.0,5.0,2.0,3.0,4.0
a2,1.0,5.0,2.0,3.0,4.0
a3,2.0,5.0,1.0,4.0,3.0
a7,1.0,5.0,2.0,3.0,4.0
abalone,2.0,4.0,1.0,5.0,3.0
acceleration,2.0,4.0,1.0,5.0,3.0
airfoild,2.0,4.0,1.0,5.0,3.0
analcatdata_apnea3,1.0,4.0,2.0,3.0,5.0
available_power,2.0,4.0,1.0,5.0,3.0
boston,2.0,5.0,1.0,4.0,3.0
california,2.0,5.0,1.0,4.0,3.0
cocomo_numeric,1.0,5.0,2.0,3.0,4.0
compactiv,1.0,5.0,2.0,4.0,3.0
concreteStrength,2.0,5.0,1.0,4.0,3.0
cpu_small,2.0,4.0,1.0,5.0,3.0
debutanizer,2.0,4.0,1.0,5.0,3.0
forestFires,1.0,5.0,2.0,3.0,4.0
fuel_consumption_country,1.0,4.0,2.0,5.0,3.0
heat,2.0,4.0,1.0,5.0,3.0
kdd_coil_1,1.0,4.0,2.0,5.0,3.0
lungcancer_shedden,1.0,5.0,2.0,4.0,3.0
maximal_torque,1.0,5.0,2.0,4.0,3.0
meta,1.0,5.0,2.0,4.0,3.0
mortgage,2.0,3.0,1.0,4.0,5.0
pdgfr,2.0,5.0,1.0,4.0,3.0
sensory,2.0,4.0,1.0,3.0,5.0
space_ga,2.0,5.0,1.0,4.0,3.0
treasury,2.0,3.0,1.0,4.0,5.0
triazines,1.0,4.0,2.0,5.0,3.0
wine_quality,2.0,4.0,1.0,5.0,3.0
